Ano,Dividendos,Cotação,DY
2025,"0,026244","R$ 2,04","1,29%"
2024,"0,026244","R$ 2,16","1,22%"
2023,"0,266520","R$ 4,03","6,61%"
2022,"0,170412","R$ 3,74","4,56%"
2021,"0,016239","R$ 6,45","0,25%"
