Ano,Dividendos,Cotação,DY
2025,"0,704627","R$ 23,25","3,03%"
2024,"0,704627","R$ 25,36","2,78%"
2016,"0,764000","R$ 48,25","1,58%"
2015,"1,199800","R$ 55,40","2,17%"
2014,"0,948300","R$ 63,44","1,49%"
2013,"0,883600","R$ 49,25","1,79%"
2012,"0,315800","R$ 42,19","0,75%"
2011,"0,726700","R$ 36,42","2,00%"
2010,"0,301200","R$ 27,34","1,10%"
2009,"0,230000","R$ 45,37","0,51%"
