Ano,Dividendos,Cotação,DY
2025,"0,117656","R$ 13,43","0,88%"
2024,"0,117656","R$ 13,74","0,86%"
2023,"0,115164","R$ 12,04","0,96%"
2022,"0,015304","R$ 9,32","0,16%"
