Ano,Dividendos,Cotação,DY
2023,"0,550902","R$ 7,47","7,37%"
2022,"0,561550","R$ 12,96","4,33%"
2021,"1,078655","R$ 10,60","10,18%"
2020,"0,300567","R$ 10,18","2,95%"
2017,"0,264300","R$ 10,65","2,48%"
2012,"0,315300","R$ 11,24","2,81%"
2011,"0,063500","R$ 5,30","1,20%"
2008,"0,244982","R$ 1,85","13,24%"
