Ano,Dividendos,Cotação,DY
2025,"0,364334","R$ 10,30","3,54%"
2024,"0,364334","R$ 10,32","3,53%"
2023,"0,418060","R$ 14,55","2,87%"
2022,"0,483323","R$ 13,21","3,66%"
2021,"1,745598","R$ 11,14","15,67%"
2020,"2,129205","R$ 61,98","3,44%"
2019,"0,840558","R$ 42,97","1,96%"
2018,"0,702156","R$ 26,81","2,62%"
