Ano,Dividendos,Cotação,DY
2025,"0,287148","R$ 5,40","5,32%"
2024,"0,287148","R$ 5,54","5,18%"
2023,"0,280636","R$ 5,61","5,00%"
2022,"0,279366","R$ 3,47","8,05%"
2021,"0,202155","R$ 3,80","5,32%"
2020,"0,183894","R$ 6,00","3,06%"
2019,"0,796756","R$ 17,40","4,58%"
2018,"0,619078","R$ 16,77","3,69%"
2017,"0,601667","R$ 12,31","4,89%"
2016,"0,572337","R$ 6,02","9,51%"
2015,"0,472651","R$ 4,00","11,82%"
2014,"0,464495","R$ 7,88","5,89%"
2013,"0,275125","R$ 8,19","3,36%"
