Ano,Dividendos,Cotação,DY
2023,"0,021966","R$ 10,45","0,21%"
2022,"0,034934","R$ 12,81","0,27%"
2020,"0,041320","R$ 15,20","0,27%"
2017,"0,011400","R$ 8,00","0,14%"
2013,"0,007700","R$ 4,12","0,19%"
2012,"0,003200","R$ 6,02","0,05%"
2010,"0,011300","R$ 8,95","0,13%"
2009,"0,006722","R$ 7,98","0,08%"
2008,"0,002200","R$ 15,00","0,01%"
