Ano,Dividendos,Cotação,DY
2025,"0,858335","R$ 27,92","3,07%"
2024,"0,858204","R$ 27,20","3,16%"
2023,"0,780036","R$ 37,61","2,07%"
2022,"0,656619","R$ 23,94","2,74%"
2021,"0,860320","R$ 21,00","4,10%"
2020,"1,209848","R$ 94,00","1,29%"
2019,"1,407700","R$ 76,13","1,85%"
2018,"0,673500","R$ 23,55","2,86%"
