Ano,Dividendos,Cotação,DY
2025,"2,652198","R$ 36,31","7,30%"
2024,"2,652198","R$ 36,18","7,33%"
2023,"3,486214","R$ 33,65","10,36%"
2022,"1,966093","R$ 33,71","5,83%"
2021,"0,996996","R$ 20,75","4,80%"
2020,"2,786096","R$ 29,63","9,40%"
2019,"1,587563","R$ 37,70","4,21%"
2018,"3,111256","R$ 27,59","11,28%"
2017,"1,644666","R$ 28,49","5,77%"
2016,"1,705588","R$ 28,30","6,03%"
2015,"1,713819","R$ 24,33","7,04%"
2014,"1,218269","R$ 32,16","3,79%"
2013,"0,420664","R$ 24,50","1,72%"
