Ano,Dividendos,Cotação,DY
2025,"0,370000","R$ 3,75","9,87%"
2024,"0,370000","R$ 3,73","9,92%"
2023,"0,375600","R$ 3,27","11,49%"
2022,"0,365332","R$ 2,20","16,61%"
2021,"0,315510","R$ 3,12","10,11%"
2020,"0,178607","R$ 6,23","2,87%"
2019,"0,250000","R$ 9,79","2,55%"
