Ano,Dividendos,Cotação,DY
2025,"0,674005","R$ 18,76","3,59%"
2024,"1,090498","R$ 18,91","5,77%"
2023,"1,157102","R$ 21,34","5,42%"
2022,"0,798653","R$ 15,45","5,17%"
2021,"0,525667","R$ 16,20","3,24%"
2020,"0,408714","R$ 17,62","2,32%"
2019,"0,577647","R$ 24,88","2,32%"
