Ano,Dividendos,Cotação,DY
2025,"1,371494","R$ 22,30","6,15%"
2024,"1,371494","R$ 23,20","5,91%"
2023,"1,354107","R$ 22,22","6,09%"
2022,"1,509122","R$ 19,97","7,56%"
2021,"0,365973","R$ 25,66","1,43%"
2020,"0,021821","R$ 26,47","0,08%"
2019,"0,669826","R$ 18,41","3,64%"
2018,"1,100335","R$ 15,88","6,93%"
2017,"0,423885","R$ 17,60","2,41%"
2016,"0,488700","R$ 17,72","2,76%"
2015,"0,412700","R$ 23,45","1,76%"
2014,"0,755900","R$ 14,59","5,18%"
