Ano,Dividendos,Cotação,DY
2025,"0,956872","R$ 11,05","8,66%"
2024,"1,177485","R$ 11,07","10,64%"
2023,"0,971502","R$ 12,83","7,57%"
2022,"1,618198","R$ 11,65","13,89%"
2021,"1,501232","R$ 12,18","12,33%"
2020,"1,070339","R$ 11,19","9,57%"
2019,"0,630234","R$ 10,50","6,00%"
2018,"0,929084","R$ 7,60","12,22%"
2017,"0,588604","R$ 6,80","8,66%"
