Ano,Dividendos,Cotação,DY
2025,"1,555983","R$ 22,49","6,92%"
2024,"1,555983","R$ 22,12","7,03%"
2023,"3,212353","R$ 26,71","12,03%"
2022,"5,254966","R$ 29,96","17,54%"
2021,"2,621181","R$ 28,79","9,10%"
2020,"0,709664","R$ 25,00","2,84%"
2019,"0,929300","R$ 19,02","4,89%"
2018,"0,762100","R$ 15,61","4,88%"
2017,"0,241100","R$ 12,52","1,93%"
2016,"0,401081","R$ 11,05","3,63%"
2015,"1,397700","R$ 11,03","12,67%"
2013,"0,100700","R$ 9,45","1,07%"
