Ano,Dividendos,Cotação,DY
2022,"1,696348","R$ 23,76","7,14%"
2021,"7,539048","R$ 57,63","13,08%"
2019,"0,838620","R$ 29,85","2,81%"
2018,"1,885738","R$ 47,38","3,98%"
2017,"1,256717","R$ 42,87","2,93%"
2016,"2,513900","R$ 34,25","7,34%"
2015,"0,606200","R$ 27,62","2,19%"
2014,"0,606200","R$ 17,50","3,46%"
2012,"0,605100","R$ 12,80","4,73%"
2011,"0,833200","R$ 12,80","6,51%"
2008,"0,644600","R$ 5,55","11,61%"
2007,"0,159000","R$ 14,40","1,10%"
