Ano,Dividendos,Cotação,DY
2025,"1,550598","R$ 26,65","5,82%"
2024,"1,550598","R$ 27,79","5,58%"
2023,"1,515437","R$ 29,19","5,19%"
2022,"1,508575","R$ 18,06","8,35%"
2021,"1,091634","R$ 19,17","5,69%"
2020,"0,993025","R$ 26,00","3,82%"
2019,"4,302482","R$ 101,42","4,24%"
2018,"3,343019","R$ 61,50","5,44%"
