Ano,Dividendos,Cotação,DY
2025,"2,668449","R$ 35,15","7,59%"
2024,"2,668449","R$ 35,50","7,52%"
2023,"2,901431","R$ 45,33","6,40%"
2022,"2,989438","R$ 37,88","7,89%"
2021,"1,788284","R$ 38,41","4,66%"
2020,"1,724612","R$ 43,94","3,92%"
2019,"1,622816","R$ 50,80","3,19%"
2018,"4,217797","R$ 33,02","12,77%"
2017,"2,716327","R$ 35,51","7,65%"
2016,"1,971989","R$ 35,00","5,63%"
