Ano,Dividendos,Cotação,DY
2025,"0,400000","R$ 8,14","4,91%"
2024,"0,400000","R$ 8,77","4,56%"
2023,"3,000000","R$ 13,31","22,54%"
2022,"0,099998","R$ 14,73","0,68%"
