Ano,Dividendos,Cotação,DY
2020,"0,131398","R$ 8,18","1,61%"
2019,"2,540806","R$ 38,95","6,52%"
2018,"2,191895","R$ 83,46","2,63%"
2017,"0,581937","R$ 34,00","1,71%"
