Ano,Dividendos,Cotação,DY
2025,"0,956872","R$ 10,90","8,78%"
2024,"1,177485","R$ 10,91","10,79%"
2023,"0,971501","R$ 12,80","7,59%"
2022,"1,618198","R$ 11,63","13,91%"
2021,"1,501232","R$ 12,12","12,39%"
2020,"1,070339","R$ 11,20","9,56%"
2019,"0,630234","R$ 10,28","6,13%"
2018,"0,929084","R$ 8,47","10,97%"
2017,"0,588604","R$ 7,15","8,23%"
