Ano,Dividendos,Cotação,DY
2025,"0,241490","R$ 6,33","3,82%"
2024,"0,241490","R$ 6,34","3,81%"
2023,"0,215123","R$ 8,64","2,49%"
2022,"0,278620","R$ 6,07","4,59%"
2021,"0,223928","R$ 10,68","2,10%"
2020,"0,371247","R$ 9,53","3,90%"
2019,"0,075900","R$ 10,60","0,72%"
2018,"0,122231","R$ 1,95","6,27%"
2016,"0,003400","R$ 1,29","0,26%"
