Ano,Dividendos,Cotação,DY
2025,"2,833731","R$ 16,95","16,72%"
2024,"2,833731","R$ 17,03","16,64%"
2022,"2,247243","R$ 8,70","25,83%"
2021,"2,854707","R$ 22,07","12,93%"
2011,"0,014000","R$ 8,54","0,16%"
2010,"0,143500","R$ 15,50","0,93%"
2009,"0,489900","R$ 19,12","2,56%"
2007,"0,184400","R$ 15,25","1,21%"
